player,pos,team,adp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,floor_mult,ceiling_mult
Malik Washington,WR,MIA,NA,0,0,0,80.5,0.5,45,410.5,2.5,0.5,0.998,1.002
Xavier Hutchinson,WR,HOU,NA,0,0,0,14,0,38.5,473.5,2.5,0,0.884,1.116
Christian Kirk,WR,SF,NA,0,0,0,0,0,42,485,3,0,1,1
Josh Palmer,WR,BUF,NA,0,0,0,0,0,35,478,2,0,1,1
Omar Cooper Jr.,WR,NYJ,NA,0,0,0,12.5,0,38.5,458.5,3,0.5,0.836,1.164
Tyquan Thornton,WR,KCC,NA,0,0,0,0,0,25.5,466.5,3.5,0,0.836,1.164
Bryce Lance,WR,NO,NA,0,0,0,5,0,34.5,461,2,1,0.5,1.5
Dontayvion Wicks,WR,PHI,NA,0,0,0,2.5,0,39,460.5,3,0,0.935,1.065
Travis Hunter,WR,JAC,NA,0,0,0,11,0,38,452,3,0,1,1
Jahan Dotson,WR,ATL,NA,0,0,0,0,0,35,443,2,0,1,1
Jalen Tolbert,WR,MIA,NA,0,0,0,0,0,35,442,2,0,1,1
Jahdae Walker,WR,CHI,NA,0,0,0,7,0,32,430,5,0,1,1
Xavier Legette,WR,CAR,NA,0,0,0,11,0,36,417,3,0,1,1
Malik Benson,WR,LV,NA,0,0,0,4,0,35.5,419,2,0.5,0.65,1.35
Troy Franklin,WR,DEN,NA,0,0,0,11,0,36.5,403,3.5,0.5,0.528,1.472
Tre' Harris,WR,LAC,NA,0,0,0,0,0,35,410,2,0,1,1
Malachi Fields,WR,NYG,NA,0,0,0,0,0,33,408,2,0,1,1
Tory Horton,WR,SEA,NA,0,0,0,3,0,30.5,400.5,4,0.5,0.681,1.319
Ryan Flournoy,WR,DAL,NA,0,0,0,12,0,34,383,3,0,1,1
DeMario Douglas,WR,NE,NA,0,0,0,21,0,30,365,2,0,1,1
Ashton Dulin,WR,IND,NA,0,0,0,46,0,17.5,339,1.5,0,0.5,1.5
Andrei Iosivas,WR,CIN,NA,0,0,0,11,0,29.5,373.5,2.5,0,0.78,1.22
Zachariah Branch,WR,ATL,NA,0,0,0,0,0,31,382,2,0,1,1
Isaac TeSlaa,WR,DET,NA,0,0,0,0,0,25.5,352.5,4,0,0.851,1.149
Kevin Coleman Jr.,WR,MIA,NA,0,0,0,0,0,27,352,1,0,1,1
Elic Ayomanor,WR,TEN,NA,0,0,0,0,0,25.5,342,3.5,0,0.5,1.5
Keon Coleman,WR,BUF,NA,0,0,0,0,0,24,338,3,0,1,1
KaVontae Turpin,WR,DAL,NA,0,0,0,103,0,18,227,2,0,1,1
Darnell Mooney,WR,NYG,NA,0,0,0,12,0,21,308,2,0,1,1
Pat Bryant,WR,DEN,NA,0,0,0,0,0,28,320,2,0,1,1
Marvin Mims Jr.,WR,DEN,NA,0,0,0,45,0,24,273,2,0,1,1
Jack Bech,WR,LV,NA,0,0,0,0,0,28,315,1,0,1,1
Devontez Walker,WR,BAL,NA,0,0,0,1.5,0,18,305,2,0,0.674,1.326
Chimere Dike,WR,TEN,NA,0,0,0,33.5,0.5,28,271,3.5,0.5,0.5,1.5
Ted Hurst III,WR,TB,NA,0,0,0,0,0,23,295,2,0,1,1
Demarcus Robinson,WR,SF,NA,0,0,0,2.5,0,19.5,276,2,0,0.5,1.5
Tank Dell,WR,HOU,NA,0,0,0,20,0,19,241.5,1.5,0,0.5,1.5
Mack Hollins,WR,NE,NA,0,0,0,0,0,21,258,2,0,1,1
Kyle Williams,WR,NE,NA,0,0,0,22,0,16,230,1,0,1,1
Cyrus Allen,WR,KCC,NA,0,0,0,0,0,19,245,2,0,1,1
Kendrick Bourne,WR,ARI,NA,0,0,0,0,0,23,239,1,0,1,1
Joshua Palmer,WR,BUF,NA,0,0,0,0,0,19,231,1,0,1,1
Luke McCaffrey,WR,WAS,NA,0,0,0,0,0,14.5,221,2,0,0.5,1.5
Treylon Burks,WR,WAS,NA,0,0,0,0,0,15,217,1,0,1,1
Dyami Brown,WR,WAS,NA,0,0,0,0,0,16,216,2,0,1,1
Kalif Raymond,WR,CHI,NA,0,0,0,27,0,19,188,1,0,1,1
Savion Williams,WR,GB,NA,0,0,0,46,0,13,149,1,0,1,1
Isaiah Bond,WR,CLE,NA,0,0,0,24,0,11,152,1,0,1,1
Skyler Bell,WR,BUF,NA,0,0,0,0,0,12,164,1,0,1,1
Hollywood Brown,WR,PHI,NA,0,0,0,0,0,13,156,1,0,1,1
Zavion Thomas,WR,CHI,NA,0,0,0,0,0,13,154,1,0,1,1
Tutu Atwell,WR,LAR,NA,0,0,0,12,0,10,139,1,0,1,1
Olamide Zaccheaus,WR,ATL,NA,0,0,0,0,0,14,142,1,0,1,1
Roman Wilson,WR,PIT,NA,0,0,0,0,0,12,135,1,0,1,1
Brenen Thompson,WR,LAC,NA,0,0,0,11,0,10,122,1,0,1,1
Colbie Young,WR,CIN,NA,0,0,0,0,0,11,131,1,0,1,1
Isaiah Williams,WR,NYJ,NA,0,0,0,13,0,12,114,0,0,1,1
Elijah Sarratt,WR,BAL,NA,0,0,0,0,0,8,124,1,0,1,1
Jaylin Lane,WR,WAS,NA,0,0,0,0,0,9,119,1,0,1,1
Jimmy Horn Jr.,WR,CAR,NA,0,0,0,37,0,7,76,0,0,1,1
Odell Beckham Jr.,WR,NYG,NA,0,0,0,0,0,9,113,1,0,1,1
Tez Johnson,WR,TB,NA,0,0,0,23,0,7,77,1,0,1,1
Jordan Whittington,WR,LAR,NA,0,0,0,12,0,8,85,1,0,1,1
Barion Brown,WR,NO,NA,0,0,0,0,0,7,91,0,0,1,1
Konata Mumpfield,WR,LAR,NA,0,0,0,0,0,7,84,1,0,1,1
KeAndre Lambert-Smith,WR,LAC,NA,0,0,0,0,0,6,81,1,0,1,1
Bo Melton,WR,GB,NA,0,0,0,13,0,5,66,0,0,1,1
Jalen Royals,WR,KCC,NA,0,0,0,0,0,7,78,1,0,1,1
Laquon Treadwell,WR,IND,NA,0,0,0,0,0,7,78,0,0,1,1
Malachi Corley,WR,CLE,NA,0,0,0,44,0,3,34,0,0,1,1
Tay Martin,WR,DET,NA,0,0,0,26,0,3,41,0,0,1,1
Derius Davis,WR,LAC,NA,0,0,0,11,0,3,38,0,0,1,1
Jacob Cowing,WR,SF,NA,0,0,0,0,0,3,44,0,0,1,1
Xavier Smith,WR,LAR,NA,0,0,0,0,0,4,44,0,0,1,1
