player,pos,team,data_src,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,src_pts
Quinshon Judkins,RB,CLE,ESPN,0,0,0,1246,7,32,222,1,0,226.8
Cam Skattebo,RB,NYG,ESPN,0,0,0,1012,7,45,332,1,0,227.39999999999998
D'Andre Swift,RB,CHI,ESPN,0,0,0,980,8,31,270,1,0,210
Bhayshul Tuten,RB,JAC,ESPN,0,0,0,995,7,34,251,1,0,206.6
Bucky Irving,RB,TB,ESPN,0,0,0,991,5,37,294,2,0,207.50000000000003
David Montgomery,RB,HOU,ESPN,0,0,0,985,7,32,228,1,0,201.3
Jadarian Price,RB,SEA,ESPN,0,0,0,923,8,27,212,1,0,194.5
TreVeyon Henderson,RB,NE,ESPN,0,0,0,839,7,39,269,1,0,197.8
Rhamondre Stevenson,RB,NE,ESPN,0,0,0,742,7,42,350,2,0,205.2
Tony Pollard,RB,TEN,ESPN,0,0,0,1043,5,30,182,0,0,182.5
Jaylen Warren,RB,PIT,ESPN,0,0,0,809,5,46,320,1,0,194.9
Kenny Gainwell,RB,TB,ESPN,0,0,0,521,5,52,342,2,0,180.3
MarShawn Lloyd,RB,GB,ESPN,0,0,0,621,5,21,148,1,0,133.89999999999998
Josh Jacobs,RB,GB,ESPN,0,0,0,719,8,24,183,1,0,168.20000000000002
Rico Dowdle,RB,PIT,ESPN,0,0,0,993,6,29,211,1,0,191.4
Jonathon Brooks,RB,CAR,ESPN,0,0,0,852,5,37,279,1,0,186.1
Chuba Hubbard,RB,CAR,ESPN,0,0,0,732,4,41,300,1,0,174.2
Aaron Jones Sr.,RB,MIN,ESPN,0,0,0,654,3,47,345,2,0,176.9
Rachaad White,RB,WAS,ESPN,0,0,0,567,5,40,266,2,0,165.3
J.K. Dobbins,RB,DEN,ESPN,0,0,0,958,7,21,132,1,0,178
Kyle Monangai,RB,CHI,ESPN,0,0,0,813,6,26,216,1,0,170.9
RJ Harvey,RB,DEN,ESPN,0,0,0,316,3,49,367,3,0,153.3
Blake Corum,RB,LAR,ESPN,0,0,0,837,7,17,117,1,0,160.39999999999998
Jacory Croskey-Merritt,RB,WAS,ESPN,0,0,0,846,7,16,119,1,0,160.50000000000003
Tyjae Spears,RB,TEN,ESPN,0,0,0,446,3,50,336,2,0,158.2
Jordan Mason,RB,MIN,ESPN,0,0,0,902,7,13,84,0,0,153.6
Zach Charbonnet,RB,SEA,ESPN,0,0,0,555,7,20,145,0,0,132
Woody Marks,RB,HOU,ESPN,0,0,0,614,3,24,199,1,0,129.3
Jonah Coleman,RB,DEN,ESPN,0,0,0,272,2,17,126,1,0,74.80000000000001
Chris Rodriguez Jr.,RB,JAC,ESPN,0,0,0,433,3,4,30,0,0,68.30000000000001
Isiah Pacheco,RB,DET,ESPN,0,0,0,541,4,13,85,1,0,105.6
Alvin Kamara,RB,NO,ESPN,0,0,0,451,2,31,208,1,0,114.89999999999999
Tyler Allgeier,RB,ARI,ESPN,0,0,0,391,3,18,128,0,0,87.89999999999999
Dylan Sampson,RB,CLE,ESPN,0,0,0,236,1,30,208,1,0,86.4
Brian Robinson Jr.,RB,ATL,ESPN,0,0,0,560,4,9,59,0,0,94.9
Keaton Mitchell,RB,LAC,ESPN,0,0,0,393,2,20,157,1,0,93.00000000000001
Mike Washington Jr.,RB,LV,ESPN,0,0,0,368,2,9,64,0,0,64.2
Braelon Allen,RB,NYJ,ESPN,0,0,0,348,3,13,90,0,0,74.80000000000001
Tank Bigsby,RB,PHI,ESPN,0,0,0,372,3,4,29,0,0,62.1
Ray Davis,RB,BUF,ESPN,0,0,0,138,1,8,60,0,0,33.8
Najee Harris,RB,NYG,ESPN,0,0,0,432,2,12,76,0,0,74.8
Justice Hill,RB,BAL,ESPN,0,0,0,268,2,39,348,2,0,124.6
Kaelon Black,RB,SF,ESPN,0,0,0,311,2,8,62,0,0,57.300000000000004
Kimani Vidal,RB,LAC,ESPN,0,0,0,136,1,8,63,0,0,33.900000000000006
Jaylen Wright,RB,MIA,ESPN,0,0,0,252,1,7,56,0,0,43.800000000000004
Ollie Gordon II,RB,MIA,ESPN,0,0,0,195,1,4,28,0,0,32.3
Samaje Perine,RB,CIN,ESPN,0,0,0,440,3,19,139,1,0,100.9
Ty Johnson,RB,BUF,ESPN,0,0,0,220,2,22,208,1,0,82.8
Malik Davis,RB,DAL,ESPN,0,0,0,290,2,8,59,0,0,54.9
Brashard Smith,RB,KCC,ESPN,0,0,0,175,1,16,121,1,0,57.6
Chris Brooks,RB,GB,ESPN,0,0,0,234,2,19,137,1,0,74.10000000000001
Emmett Johnson,RB,KCC,ESPN,0,0,0,258,2,8,59,0,0,51.699999999999996
Isaiah Davis,RB,NYJ,ESPN,0,0,0,178,1,13,96,0,0,46.4
LeQuint Allen Jr.,RB,JAC,ESPN,0,0,0,34,0,22,148,1,0,46.2
George Holani,RB,SEA,ESPN,0,0,0,164,2,8,62,0,0,42.60000000000001
Tyrone Tracy Jr.,RB,NYG,ESPN,0,0,0,152,1,12,87,0,0,41.900000000000006
Sean Tucker,RB,TB,ESPN,0,0,0,182,2,2,14,0,0,33.6
Seth McGowan,RB,IND,ESPN,0,0,0,138,1,9,59,0,0,34.7
Jordan James,RB,SF,ESPN,0,0,0,151,1,4,31,0,0,28.200000000000003
Will Shipley,RB,PHI,ESPN,0,0,0,40,0,11,83,0,0,23.3
Jacob Saylors,RB,DET,ESPN,0,0,0,101,1,4,30,0,0,23.1
Nicholas Singleton,RB,TEN,ESPN,0,0,0,84,1,4,30,0,0,21.4
Kendre Miller,RB,NO,ESPN,0,0,0,100,0,3,22,0,0,15.2
Tahj Brooks,RB,CIN,ESPN,0,0,0,128,1,0,0,0,0,18.8
Demond Claiborne,RB,MIN,ESPN,0,0,0,59,0,5,29,0,0,13.8
Rasheen Ali,RB,BAL,ESPN,0,0,0,62,0,4,28,0,0,13
Kaytron Allen,RB,WAS,ESPN,0,0,0,51,0,4,29,0,0,12.000000000000002
