player,pos,team,data_src,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,src_pts
Jakobi Meyers,WR,JAC,ESPN,0,0,0,32,0,70,766,5,0,179.8
Brian Thomas Jr.,WR,JAC,ESPN,0,0,0,23,0,57,860,5,0,175.3
Matthew Golden,WR,GB,ESPN,0,0,0,24,0,68,887,5,0,189.10000000000002
Chris Godwin Jr.,WR,TB,ESPN,0,0,0,0,0,60,700,5,0,160
Jordan Addison,WR,MIN,ESPN,0,0,0,14,0,61,769,5,0,169.3
Josh Downs,WR,IND,ESPN,0,0,0,11,0,70,696,3,0,158.7
Khalil Shakir,WR,BUF,ESPN,0,0,0,13,0,70,765,4,0,171.8
Makai Lemon,WR,PHI,ESPN,0,0,0,0,0,52,736,5,0,155.60000000000002
Quentin Johnston,WR,LAC,ESPN,0,0,0,11,0,53,778,6,0,167.9
Jayden Reed,WR,GB,ESPN,0,0,0,63,0,65,741,4,0,169.4
Xavier Worthy,WR,KCC,ESPN,0,0,0,76,1,56,788,5,0,178.4
De'Zhaun Stribling,WR,SF,ESPN,0,0,0,0,0,52,798,5,0,161.8
Romeo Doubs,WR,NE,ESPN,0,0,0,0,0,52,667,5,0,148.7
Jalen Coker,WR,CAR,ESPN,0,0,0,0,0,61,688,3,0,147.8
Deebo Samuel Sr.,WR,SF,ESPN,0,0,0,109,1,48,625,4,0,151.4
KC Concepcion,WR,CLE,ESPN,0,0,0,35,0,59,738,3,0,154.3
Jalen McMillan,WR,TB,ESPN,0,0,0,25,0,47,588,4,0,132.3
Tank Dell,WR,HOU,ESPN,0,0,0,0,0,0,0,0,0,0
Keenan Allen,WR,IND,ESPN,0,0,0,0,0,55,539,3,0,126.9
Calvin Ridley,WR,TEN,ESPN,0,0,0,32,0,43,677,3,0,131.9
Jaylin Noel,WR,HOU,ESPN,0,0,0,22,0,51,578,3,0,129
Rashid Shaheed,WR,SEA,ESPN,0,0,0,87,1,43,646,3,0,140.3
Denzel Boston,WR,CLE,ESPN,0,0,0,0,0,55,693,3,0,142.3
Jerry Jeudy,WR,CLE,ESPN,0,0,0,0,0,52,721,3,0,142.10000000000002
Adonai Mitchell,WR,NYJ,ESPN,0,0,0,11,0,42,623,4,0,129.4
Caleb Douglas,WR,MIA,ESPN,0,0,0,0,0,43,581,2,0,113.1
Jordyn Tyson,WR,NO,ESPN,0,0,0,0,0,36,484,3,0,102.4
Tre Tucker,WR,LV,ESPN,0,0,0,57,0,48,659,3,0,137.60000000000002
Jalen Nailor,WR,LV,ESPN,0,0,0,11,0,44,608,3,0,123.9
Rashod Bateman,WR,BAL,ESPN,0,0,0,0,0,38,613,4,0,123.30000000000001
Dontayvion Wicks,WR,PHI,ESPN,0,0,0,0,0,40,520,3,0,110
Devaughn Vele,WR,NO,ESPN,0,0,0,0,0,49,543,3,0,121.30000000000001
Ja'Kobi Lane,WR,BAL,ESPN,0,0,0,0,0,34,530,4,0,111
Jauan Jennings,WR,MIN,ESPN,0,0,0,0,0,47,485,3,0,113.5
Malachi Fields,WR,NYG,ESPN,0,0,0,0,0,33,408,2,0,85.80000000000001
Germie Bernard,WR,PIT,ESPN,0,0,0,12,0,40,504,3,0,109.60000000000001
Tre' Harris,WR,LAC,ESPN,0,0,0,0,0,35,410,2,0,88
Ryan Flournoy,WR,DAL,ESPN,0,0,0,12,0,34,383,3,0,91.5
Zachariah Branch,WR,ATL,ESPN,0,0,0,0,0,31,382,2,0,81.2
Omar Cooper Jr.,WR,NYJ,ESPN,0,0,0,12,0,33,396,2,0,85.80000000000001
Kayshon Boutte,WR,HOU,ESPN,0,0,0,0,0,51,666,4,0,141.60000000000002
Malik Washington,WR,MIA,ESPN,0,0,0,78,0,44,471,2,0,110.9
Cooper Kupp,WR,SEA,ESPN,0,0,0,0,0,38,472,3,0,103.2
Xavier Legette,WR,CAR,ESPN,0,0,0,11,0,36,417,3,0,96.80000000000001
Jahan Dotson,WR,ATL,ESPN,0,0,0,0,0,35,443,2,0,91.30000000000001
Xavier Hutchinson,WR,HOU,ESPN,0,0,0,12,0,34,432,2,0,90.4
Jalen Tolbert,WR,MIA,ESPN,0,0,0,0,0,35,442,2,0,91.2
Chris Bell,WR,MIA,ESPN,0,0,0,0,0,34,449,2,0,90.9
DeMario Douglas,WR,NE,ESPN,0,0,0,21,0,30,365,2,0,80.6
Darius Slayton,WR,NYG,ESPN,0,0,0,12,0,28,396,2,0,80.8
Antonio Williams,WR,WAS,ESPN,0,0,0,22,0,26,344,2,0,74.6
Tyquan Thornton,WR,KCC,ESPN,0,0,0,0,0,24,359,3,0,77.9
Keon Coleman,WR,BUF,ESPN,0,0,0,0,0,24,338,3,0,75.80000000000001
Isaac TeSlaa,WR,DET,ESPN,0,0,0,0,0,24,301,3,0,72.1
Pat Bryant,WR,DEN,ESPN,0,0,0,0,0,28,320,2,0,72
Marvin Mims Jr.,WR,DEN,ESPN,0,0,0,45,0,24,273,2,0,67.8
Andrei Iosivas,WR,CIN,ESPN,0,0,0,11,0,24,276,2,0,64.7
Kevin Coleman Jr.,WR,MIA,ESPN,0,0,0,0,0,27,352,1,0,68.2
KaVontae Turpin,WR,DAL,ESPN,0,0,0,103,0,18,227,2,0,63
Jack Bech,WR,LV,ESPN,0,0,0,0,0,28,315,1,0,65.5
Tory Horton,WR,SEA,ESPN,0,0,0,0,0,22,299,2,0,63.900000000000006
Ted Hurst III,WR,TB,ESPN,0,0,0,0,0,23,295,2,0,64.5
Darnell Mooney,WR,NYG,ESPN,0,0,0,12,0,21,308,2,0,65
Mack Hollins,WR,NE,ESPN,0,0,0,0,0,21,258,2,0,58.8
Cyrus Allen,WR,KCC,ESPN,0,0,0,0,0,19,245,2,0,55.5
Kyle Williams,WR,NE,ESPN,0,0,0,22,0,16,230,1,0,47.2
Troy Franklin,WR,DEN,ESPN,0,0,0,11,0,17,216,2,0,51.7
Joshua Palmer,WR,BUF,ESPN,0,0,0,0,0,19,231,1,0,48.1
Kendrick Bourne,WR,ARI,ESPN,0,0,0,0,0,23,239,1,0,52.900000000000006
Malik Benson,WR,LV,ESPN,0,0,0,0,0,23,287,1,0,57.7
Kalif Raymond,WR,CHI,ESPN,0,0,0,27,0,19,188,1,0,46.5
Dyami Brown,WR,WAS,ESPN,0,0,0,0,0,16,216,2,0,49.6
Treylon Burks,WR,WAS,ESPN,0,0,0,0,0,15,217,1,0,42.7
Devontez Walker,WR,BAL,ESPN,0,0,0,0,0,14,209,1,0,40.900000000000006
Savion Williams,WR,GB,ESPN,0,0,0,46,0,13,149,1,0,38.5
Chimere Dike,WR,TEN,ESPN,0,0,0,50,1,11,112,1,0,39.2
Bryce Lance,WR,NO,ESPN,0,0,0,0,0,16,211,1,0,43.1
Jaylin Lane,WR,WAS,ESPN,0,0,0,0,0,9,119,1,0,26.9
Zavion Thomas,WR,CHI,ESPN,0,0,0,0,0,13,154,1,0,34.4
Isaiah Bond,WR,CLE,ESPN,0,0,0,24,0,11,152,1,0,34.6
Skyler Bell,WR,BUF,ESPN,0,0,0,0,0,12,164,1,0,34.400000000000006
Hollywood Brown,WR,PHI,ESPN,0,0,0,0,0,13,156,1,0,34.6
Olamide Zaccheaus,WR,ATL,ESPN,0,0,0,0,0,14,142,1,0,34.2
Ashton Dulin,WR,IND,ESPN,0,0,0,26,0,10,128,1,0,31.4
Isaiah Williams,WR,NYJ,ESPN,0,0,0,13,0,12,114,0,0,24.700000000000003
Tutu Atwell,WR,LAR,ESPN,0,0,0,12,0,10,139,1,0,31.1
Colbie Young,WR,CIN,ESPN,0,0,0,0,0,11,131,1,0,30.1
Roman Wilson,WR,PIT,ESPN,0,0,0,0,0,12,135,1,0,31.5
Brenen Thompson,WR,LAC,ESPN,0,0,0,11,0,10,122,1,0,29.3
Elijah Sarratt,WR,BAL,ESPN,0,0,0,0,0,8,124,1,0,26.4
Odell Beckham Jr.,WR,NYG,ESPN,0,0,0,0,0,9,113,1,0,26.3
Elic Ayomanor,WR,TEN,ESPN,0,0,0,0,0,9,115,1,0,26.5
Jordan Whittington,WR,LAR,ESPN,0,0,0,12,0,8,85,1,0,23.7
Tez Johnson,WR,TB,ESPN,0,0,0,23,0,7,77,1,0,23
Jimmy Horn Jr.,WR,CAR,ESPN,0,0,0,37,0,7,76,0,0,18.3
Konata Mumpfield,WR,LAR,ESPN,0,0,0,0,0,7,84,1,0,21.4
Demarcus Robinson,WR,SF,ESPN,0,0,0,0,0,7,88,1,0,21.8
Luke McCaffrey,WR,WAS,ESPN,0,0,0,0,0,7,80,0,0,15
Jalen Royals,WR,KCC,ESPN,0,0,0,0,0,7,78,1,0,20.8
KeAndre Lambert-Smith,WR,LAC,ESPN,0,0,0,0,0,6,81,1,0,20.1
Barion Brown,WR,NO,ESPN,0,0,0,0,0,7,91,0,0,16.1
Laquon Treadwell,WR,IND,ESPN,0,0,0,0,0,7,78,0,0,14.8
Dont'e Thornton Jr.,WR,LV,ESPN,0,0,0,0,0,0,0,0,0,0
Bo Melton,WR,GB,ESPN,0,0,0,13,0,5,66,0,0,12.9
Malachi Corley,WR,CLE,ESPN,0,0,0,44,0,3,34,0,0,10.8
Kevin Austin Jr.,WR,FA,ESPN,0,0,0,0,0,0,0,0,0,0
Tay Martin,WR,DET,ESPN,0,0,0,26,0,3,41,0,0,9.7
Derius Davis,WR,LAC,ESPN,0,0,0,11,0,3,38,0,0,7.9
Xavier Smith,WR,LAR,ESPN,0,0,0,0,0,4,44,0,0,8.4
Jacob Cowing,WR,SF,ESPN,0,0,0,0,0,3,44,0,0,7.4
Puka Nacua,WR,LAR,CBS,0,0,0,108,2,130,1702,9,1,375
Jaxon Smith-Njigba,WR,SEA,CBS,0,0,0,36,0,111,1614,12,1,346
Ja'Marr Chase,WR,CIN,CBS,0,0,0,19,0,128,1553,10,1,343.20000000000005
Amon-Ra St. Brown,WR,DET,CBS,0,0,0,8,0,115,1370,11,0,318.8
George Pickens,WR,DAL,CBS,0,0,0,-1,0,93,1384,10,0,291.3
Rashee Rice,WR,KC,CBS,0,0,0,35,2,104,1049,13,0,302.4
Drake London,WR,ATL,CBS,0,0,0,0,0,94,1257,12,1,289.7
Chris Olave,WR,NO,CBS,0,0,0,0,0,99,1246,11,0,289.6
A.J. Brown,WR,NE,CBS,0,0,0,0,0,91,1326,9,0,277.6
Nico Collins,WR,HOU,CBS,0,0,0,13,1,82,1247,9,1,266
CeeDee Lamb,WR,DAL,CBS,0,0,0,25,0,101,1331,6,0,272.6
Malik Nabers,WR,NYG,CBS,0,0,0,2,0,80,1034,11,0,249.60000000000002
Zay Flowers,WR,BAL,CBS,0,0,0,60,1,83,1183,8,2,257.3
Tee Higgins,WR,CIN,CBS,0,0,0,0,0,74,1035,11,0,243.5
Justin Jefferson,WR,MIN,CBS,0,0,0,6,0,90,1271,6,0,253.7
Tetairoa McMillan,WR,CAR,CBS,0,0,0,0,0,82,1172,8,1,245.2
Alec Pierce,WR,IND,CBS,0,0,0,0,0,49,1067,9,0,209.7
Emeka Egbuka,WR,TB,CBS,0,0,0,10,0,72,1118,8,0,232.8
Jameson Williams,WR,DET,CBS,0,0,0,39,1,63,1083,7,0,223.20000000000002
Terry McLaurin,WR,WAS,CBS,0,0,0,1,0,64,925,10,0,216.6
DeVonta Smith,WR,PHI,CBS,0,0,0,0,0,90,1158,6,0,241.8
Garrett Wilson,WR,NYJ,CBS,0,0,0,2,0,89,956,9,1,236.8
Davante Adams,WR,LAR,CBS,0,0,0,0,0,69,851,10,0,214.10000000000002
Christian Watson,WR,GB,CBS,0,0,0,13,0,53,905,9,0,198.8
Ladd McConkey,WR,LAC,CBS,0,0,0,0,0,82,1032,7,0,227.2
Luther Burden III,WR,CHI,CBS,0,0,0,32,0,72,1056,6,0,216.8
Rome Odunze,WR,CHI,CBS,0,0,0,4,0,63,916,8,0,203
Brian Thomas Jr.,WR,JAC,CBS,0,0,0,30,1,61,941,6,0,200.10000000000002
Marvin Harrison Jr.,WR,ARI,CBS,0,0,0,0,0,66,952,7,0,203.2
Jaylen Waddle,WR,DEN,CBS,0,0,0,25,0,75,996,6,0,213.10000000000002
DJ Moore,WR,BUF,CBS,0,0,0,81,1,69,813,8,1,210.4
Parker Washington,WR,JAC,CBS,0,0,0,2,0,62,924,7,0,196.60000000000002
Courtland Sutton,WR,DEN,CBS,0,0,0,0,0,70,911,7,0,203.10000000000002
Mike Evans,WR,SF,CBS,0,0,0,0,0,69,899,7,0,200.9
DK Metcalf,WR,PIT,CBS,0,0,0,10,1,61,891,6,0,193.10000000000002
Quentin Johnston,WR,LAC,CBS,0,0,0,7,0,58,784,9,1,189.10000000000002
Michael Wilson,WR,ARI,CBS,0,0,0,2,0,66,837,6,0,185.9
Chris Godwin,WR,TB,CBS,0,0,0,1,0,75,841,6,0,195.2
Jordan Addison,WR,MIN,CBS,0,0,0,78,1,50,737,6,0,173.5
Romeo Doubs,WR,NE,CBS,0,0,0,0,0,61,809,6,0,177.9
Rashid Shaheed,WR,SEA,CBS,0,0,0,91,0,57,863,4,1,174.4
De'Zhaun Stribling,WR,SF,CBS,0,0,0,13,0,60,860,5,2,173.3
Jakobi Meyers,WR,JAC,CBS,0,0,0,17,0,68,814,5,1,179.10000000000002
Calvin Ridley,WR,TEN,CBS,0,0,0,23,1,50,846,3,0,160.9
Jalen Coker,WR,CAR,CBS,0,0,0,0,0,59,746,6,1,167.60000000000002
Jayden Reed,WR,GB,CBS,0,0,0,152,0,59,702,5,0,174.4
Rashod Bateman,WR,BAL,CBS,0,0,0,0,0,40,583,8,0,146.3
Josh Downs,WR,IND,CBS,0,0,0,2,0,69,711,6,1,174.3
Ja'Kobi Lane,WR,BAL,CBS,0,0,0,17,0,44,653,7,1,151
Deebo Samuel,WR,SF,CBS,0,0,0,115,1,66,653,5,0,178.8
Jerry Jeudy,WR,CLE,CBS,0,0,0,4,0,66,830,4,1,171.4
Jauan Jennings,WR,MIN,CBS,0,0,0,0,0,51,630,7,1,154
KC Concepcion,WR,CLE,CBS,0,0,0,10,0,69,847,4,2,174.7
Matthew Golden,WR,GB,CBS,0,0,0,68,0,52,751,4,0,157.9
Wan'Dale Robinson,WR,TEN,CBS,0,0,0,6,0,84,796,4,0,188.2
Michael Pittman,WR,PIT,CBS,0,0,0,0,0,77,677,6,0,180.7
Xavier Worthy,WR,KC,CBS,0,0,0,152,1,53,642,4,0,162.4
Stefon Diggs,WR,WAS,CBS,0,0,0,2,0,68,748,4,0,167
Denzel Boston,WR,CLE,CBS,0,0,0,10,0,63,782,4,2,162.2
Carnell Tate,WR,TEN,CBS,0,0,0,9,0,56,771,4,2,154
Keenan Allen,WR,IND,CBS,0,0,0,0,0,62,675,5,0,159.5
Makai Lemon,WR,PHI,CBS,0,0,0,13,0,53,738,4,2,148.1
Kayshon Boutte,WR,HOU,CBS,0,0,0,0,0,39,590,6,0,134
Elic Ayomanor,WR,TEN,CBS,0,0,0,0,0,42,569,6,0,134.9
Tre Tucker,WR,LV,CBS,0,0,0,52,0,52,605,5,0,147.7
Cooper Kupp,WR,SEA,CBS,0,0,0,3,0,57,696,4,1,148.9
Jalen Nailor,WR,LV,CBS,0,0,0,7,0,43,568,5,0,130.5
Khalil Shakir,WR,BUF,CBS,0,0,0,4,0,67,646,4,1,154
Jalen McMillan,WR,TB,CBS,0,0,0,29,0,46,624,4,0,135.3
Troy Franklin,WR,DEN,CBS,0,0,0,11,0,56,590,5,1,144.1
Bryce Lance,WR,NO,CBS,0,0,0,10,0,53,711,3,2,139.10000000000002
Marquise Brown,WR,PHI,CBS,0,0,0,0,0,44,548,5,0,128.8
Antonio Williams,WR,WAS,CBS,0,0,0,15,0,45,648,4,2,131.3
Tory Horton,WR,SEA,CBS,0,0,0,6,0,39,502,6,1,123.80000000000001
Devaughn Vele,WR,NO,CBS,0,0,0,0,0,46,592,4,0,129.2
Tyquan Thornton,WR,KC,CBS,0,0,0,0,0,27,574,4,0,108.4
Chris Bell,WR,MIA,CBS,0,0,0,11,0,47,583,4,1,128.4
Chimere Dike,WR,TEN,CBS,0,0,0,17,0,45,430,6,1,123.7
Jordyn Tyson,WR,NO,CBS,0,0,0,8,0,42,593,3,1,118.1
Omar Cooper Jr.,WR,NYJ,CBS,0,0,0,13,0,44,521,4,1,119.4
Jahdae Walker,WR,CHI,CBS,0,0,0,7,0,32,430,5,0,105.7
Malik Benson,WR,LV,CBS,0,0,0,8,0,48,551,3,1,119.9
Darius Slayton,WR,NYG,CBS,0,0,0,5,0,42,612,2,1,113.7
Isaac TeSlaa,WR,DET,CBS,0,0,0,0,0,27,404,5,0,97.4
Xavier Hutchinson,WR,HOU,CBS,0,0,0,16,0,43,515,3,0,114.1
Ashton Dulin,WR,IND,CBS,0,0,0,66,0,25,550,2,0,98.6
Jaylin Noel,WR,HOU,CBS,0,0,0,13,0,40,456,4,0,110.9
Germie Bernard,WR,PIT,CBS,0,0,0,10,0,42,511,3,1,110.1
Tank Dell,WR,HOU,CBS,0,0,0,40,0,38,483,3,0,108.30000000000001
Christian Kirk,WR,SF,CBS,0,0,0,0,0,42,485,3,0,108.5
Demarcus Robinson,WR,SF,CBS,0,0,0,5,0,32,464,3,0,96.9
Andrei Iosivas,WR,CIN,CBS,0,0,0,11,0,35,471,3,0,101.2
Ted Hurst,WR,TB,CBS,0,0,0,13,0,35,484,3,1,100.7
Adonai Mitchell,WR,NYJ,CBS,0,0,0,-1,0,38,481,3,1,102
Luke McCaffrey,WR,WAS,CBS,0,0,0,0,0,22,362,4,0,82.2
Malik Washington,WR,MIA,CBS,0,0,0,83,1,46,350,3,1,111.3
Caleb Douglas,WR,MIA,CBS,0,0,0,11,0,35,434,3,1,95.5
Josh Palmer,WR,BUF,CBS,0,0,0,0,0,35,478,2,0,94.80000000000001
Zavion Thomas,WR,CHI,CBS,0,0,0,13,0,34,456,3,2,94.9
Dontayvion Wicks,WR,PHI,CBS,0,0,0,5,0,38,401,3,0,96.6
Puka Nacua,WR,LAR,FantasyPros,0,0,0,85,1.3,117,1539,9,1,339.20000000000005
Ja'Marr Chase,WR,CIN,FantasyPros,0,0,0,17,0,121.3,1511.4,10.6,1,335.74
Jaxon Smith-Njigba,WR,SEA,FantasyPros,0,0,0,30.4,0.1,110.9,1567.9,9.5,1.1,326.13000000000005
Amon-Ra St. Brown,WR,DET,FantasyPros,0,0,0,11.8,0,117.4,1391,10.5,0.4,319.88
Drake London,WR,ATL,FantasyPros,0,0,0,0,0,98.4,1272.9,8.8,1,276.49
CeeDee Lamb,WR,DAL,FantasyPros,0,0,0,12.6,0,97.2,1294.6,7.5,0.3,272.32
Justin Jefferson,WR,MIN,FantasyPros,0,0,0,5.6,0,98.8,1310.8,6.8,0.3,270.64
Rashee Rice,WR,KC,FantasyPros,0,0,0,25.9,0.9,96.5,1069.2,9.6,0.6,267.81
Chris Olave,WR,NO,FantasyPros,0,0,0,0,0,95.7,1193.3,7.9,0.3,261.83
A.J. Brown,WR,NE,FantasyPros,0,0,0,0,0,87.7,1233.5,7.7,0.3,256.65
Trey McBride,TE,ARI,ESPN,0,0,0,0,0,108,1023,5,0,240.3
Brock Bowers,TE,LV,ESPN,0,0,0,15,0,99,999,7,0,242.4
Colston Loveland,TE,CHI,ESPN,0,0,0,0,0,81,901,6,0,207.10000000000002
Tyler Warren,TE,IND,ESPN,0,0,0,14,0,85,893,6,0,211.70000000000002
Harold Fannin Jr.,TE,CLE,ESPN,0,0,0,21,0,84,825,3,0,186.6
Kyle Pitts Sr.,TE,ATL,ESPN,0,0,0,0,0,80,858,3,0,183.8
George Kittle,TE,SF,ESPN,0,0,0,0,0,77,828,6,0,195.8
Sam LaPorta,TE,DET,ESPN,0,0,0,0,0,78,787,5,0,186.7
Tucker Kraft,TE,GB,ESPN,0,0,0,8,0,68,777,4,0,170.5
Travis Kelce,TE,KCC,ESPN,0,0,0,0,0,74,770,4,0,175
Dallas Goedert,TE,PHI,ESPN,0,0,0,0,0,71,725,6,0,179.5
Jake Ferguson,TE,DAL,ESPN,0,0,0,0,0,73,598,6,0,168.8
Isaiah Likely,TE,NYG,ESPN,0,0,0,0,0,63,682,4,0,155.2
Mark Andrews,TE,BAL,ESPN,0,0,0,35,1,58,617,7,0,171.2
Dalton Kincaid,TE,BUF,ESPN,0,0,0,0,0,59,698,4,0,152.8
Juwan Johnson,TE,NO,ESPN,0,0,0,0,0,65,661,3,0,149.10000000000002
Hunter Henry,TE,NE,ESPN,0,0,0,0,0,56,629,5,0,148.9
T.J. Hockenson,TE,MIN,ESPN,0,0,0,0,0,78,640,3,0,160
Kenyon Sadiq,TE,NYJ,ESPN,0,0,0,0,0,60,622,4,0,146.2
Brenton Strange,TE,JAC,ESPN,0,0,0,0,0,59,599,4,0,142.9
Terrance Ferguson,TE,LAR,ESPN,0,0,0,0,0,46,579,5,0,133.9
Pat Freiermuth,TE,PIT,ESPN,0,0,0,0,0,60,603,3,0,138.3
Dalton Schultz,TE,HOU,ESPN,0,0,0,0,0,60,549,3,0,132.9
Gunnar Helm,TE,TEN,ESPN,0,0,0,0,0,58,499,3,0,125.9
Chig Okonkwo,TE,WAS,ESPN,0,0,0,0,0,51,559,2,0,118.9
AJ Barner,TE,SEA,ESPN,0,0,0,18,0,45,433,4,0,114.1
Greg Dulcich,TE,MIA,ESPN,0,0,0,0,0,52,581,2,0,122.1
Darren Waller,TE,CAR,ESPN,0,0,0,0,0,43,473,4,0,114.30000000000001
Cade Otton,TE,TB,ESPN,0,0,0,0,0,45,440,2,0,101
Evan Engram,TE,DEN,ESPN,0,0,0,0,0,47,464,2,0,105.4
David Njoku,TE,LAC,ESPN,0,0,0,0,0,40,417,4,0,105.7
Oronde Gadsden,TE,LAC,ESPN,0,0,0,0,0,30,322,3,0,80.2
Mike Gesicki,TE,CIN,ESPN,0,0,0,0,0,36,353,4,0,95.30000000000001
Michael Mayer,TE,LV,ESPN,0,0,0,0,0,37,364,1,0,79.4
Jake Tonges,TE,SF,ESPN,0,0,0,0,0,8,83,1,0,22.3
Colby Parkinson,TE,LAR,ESPN,0,0,0,0,0,28,291,3,0,75.1
Erick All Jr.,TE,CIN,ESPN,0,0,0,0,0,30,275,2,0,69.5
Darnell Washington,TE,PIT,ESPN,0,0,0,0,0,31,305,2,0,73.5
Dawson Knox,TE,BUF,ESPN,0,0,0,0,0,25,265,3,0,69.5
Elijah Arroyo,TE,SEA,ESPN,0,0,0,0,0,24,264,2,0,62.400000000000006
Mason Taylor,TE,NYJ,ESPN,0,0,0,0,0,33,285,1,0,67.5
Theo Johnson,TE,NYG,ESPN,0,0,0,0,0,25,269,2,0,63.900000000000006
Cole Kmet,TE,CHI,ESPN,0,0,0,0,0,22,220,2,0,56
Ja'Tavion Sanders,TE,CAR,ESPN,0,0,0,0,0,19,164,1,0,41.400000000000006
Noah Gray,TE,KCC,ESPN,0,0,0,0,0,26,262,1,0,58.2
Eli Stowers,TE,PHI,ESPN,0,0,0,20,0,11,107,1,0,29.700000000000003
Tyler Higbee,TE,LAR,ESPN,0,0,0,0,0,15,154,1,0,36.4
Max Klare,TE,LAR,ESPN,0,0,0,0,0,4,38,0,0,7.800000000000001
Eli Raridon,TE,NE,ESPN,0,0,0,0,0,19,189,1,0,43.900000000000006
Tommy Tremble,TE,CAR,ESPN,0,0,0,0,0,18,176,1,0,41.6
Austin Hooper,TE,ATL,ESPN,0,0,0,0,0,21,181,1,0,45.1
Elijah Higgins,TE,ARI,ESPN,0,0,0,0,0,21,182,1,0,45.2
Will Kacmarek,TE,MIA,ESPN,0,0,0,0,0,18,175,1,0,41.5
Jonnu Smith,TE,GB,ESPN,0,0,0,10,0,17,157,1,0,39.7
Drew Sample,TE,CIN,ESPN,0,0,0,0,0,22,183,1,0,46.3
Josh Oliver,TE,MIN,ESPN,0,0,0,0,0,17,151,1,0,38.1
Adam Trautman,TE,DEN,ESPN,0,0,0,0,0,16,151,1,0,37.1
Charlie Kolar,TE,LAC,ESPN,0,0,0,0,0,15,149,1,0,35.9
Noah Fant,TE,NO,ESPN,0,0,0,0,0,19,160,1,0,41
Cade Stover,TE,HOU,ESPN,0,0,0,10,0,16,133,1,0,36.3
Trey McBride,TE,ARI,CBS,0,0,0,0,0,115,1134,8,0,276.4
Brock Bowers,TE,LV,CBS,0,0,0,0,0,88,982,9,0,240.2
Colston Loveland,TE,CHI,CBS,0,0,0,0,0,84,1036,8,0,235.60000000000002
Harold Fannin Jr.,TE,CLE,CBS,0,0,0,0,0,87,877,9,1,226.7
Dallas Goedert,TE,PHI,CBS,0,0,0,0,0,68,720,11,0,206
George Kittle,TE,SF,CBS,0,0,0,0,0,77,904,8,0,215.4
Tucker Kraft,TE,GB,CBS,0,0,0,0,0,55,782,10,0,193.2
Tyler Warren,TE,IND,CBS,0,0,0,0,0,74,904,6,0,200.4
Sam LaPorta,TE,DET,CBS,0,0,0,0,0,72,909,6,0,198.9
Isaiah Likely,TE,NYG,CBS,0,0,0,0,0,72,895,7,2,199.5
Mark Andrews,TE,BAL,CBS,0,0,0,0,0,60,593,10,0,179.3
Dalton Kincaid,TE,BUF,CBS,0,0,0,0,0,59,776,7,0,178.60000000000002
Kyle Pitts,TE,ATL,CBS,0,0,0,0,0,75,822,6,0,193.2
Travis Kelce,TE,KC,CBS,0,0,0,0,0,78,813,6,0,195.3
Brenton Strange,TE,JAC,CBS,0,0,0,0,0,70,814,5,0,181.4
Juwan Johnson,TE,NO,CBS,0,0,0,0,0,71,872,4,2,178.2
Hunter Henry,TE,NE,CBS,0,0,0,0,0,56,700,6,0,162
Jake Ferguson,TE,DAL,CBS,0,0,0,0,0,78,634,7,2,179.4
Cade Otton,TE,TB,CBS,0,0,0,0,0,67,706,4,0,161.60000000000002
AJ Barner,TE,SEA,CBS,0,0,0,0,0,47,472,7,0,136.2
Dalton Schultz,TE,HOU,CBS,0,0,0,0,0,71,692,4,0,164.2
Kenyon Sadiq,TE,NYJ,CBS,0,0,0,0,0,47,529,6,1,133.9
Greg Dulcich,TE,MIA,CBS,0,0,0,0,0,59,676,4,2,146.60000000000002
Terrance Ferguson,TE,LAR,CBS,0,0,0,0,0,29,530,5,0,112
Darren Waller,TE,CAR,CBS,0,0,0,0,0,46,469,6,0,128.9
Pat Freiermuth,TE,PIT,CBS,0,0,0,0,0,46,510,5,0,127
Chigoziem Okonkwo,TE,WAS,CBS,0,0,0,0,0,53,628,3,0,133.8
Colby Parkinson,TE,LAR,CBS,0,0,0,0,0,41,435,6,1,118.5
T.J. Hockenson,TE,MIN,CBS,0,0,0,0,0,55,517,4,0,130.7
David Njoku,TE,LAC,CBS,0,0,0,0,0,42,403,6,0,118.30000000000001
Tyler Higbee,TE,LAR,CBS,0,0,0,0,0,40,500,4,0,114
Mike Gesicki,TE,CIN,CBS,0,0,0,0,0,49,541,3,0,121.1
Oronde Gadsden II,TE,LAC,CBS,0,0,0,0,0,38,534,3,1,107.4
Mason Taylor,TE,NYJ,CBS,0,0,0,0,0,56,461,4,0,126.1
Theo Johnson,TE,NYG,CBS,0,0,0,0,0,35,389,5,0,103.9
Evan Engram,TE,DEN,CBS,0,0,0,0,0,56,479,3,0,121.9
Dawson Knox,TE,BUF,CBS,0,0,0,0,0,35,400,3,0,93
Gunnar Helm,TE,TEN,CBS,0,0,0,0,0,44,377,3,0,99.7
Charlie Kolar,TE,LAC,CBS,0,0,0,0,0,25,332,4,0,82.2
Brock Wright,TE,DET,CBS,0,0,0,0,0,34,303,4,0,88.3
Jonnu Smith,TE,GB,CBS,0,0,0,0,0,28,253,3,0,71.3
Daniel Bellinger,TE,TEN,CBS,0,0,0,0,0,26,332,3,0,77.2
Darnell Washington,TE,PIT,CBS,0,0,0,0,0,35,383,2,1,83.30000000000001
